group,guise,label,social_image,target_continuum,vot_step,video,question,answer_choice
B,Mandarin,4,,DART-TART,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_1-w-audio.mp4,,
B,Mandarin,4,,DART-TART,2,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_2-w-audio.mp4,,
B,Mandarin,4,,DART-TART,3,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_3-w-audio.mp4,,
B,Mandarin,4,,DART-TART,4,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_4-w-audio.mp4,,
B,Mandarin,4,,DART-TART,5,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_5-w-audio.mp4,,
B,Mandarin,4,,DART-TART,6,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_6-w-audio.mp4,,
B,Mandarin,4,,DART-TART,7,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_7-w-audio.mp4,,
B,Mandarin,4,,DART-TART,8,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_8-w-audio.mp4,,
B,Mandarin,4,,DART-TART,9,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_8-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,2,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,3,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,4,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,5,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_5-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,6,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_6-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,7,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_7-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,8,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_8-w-audio.mp4,,
B,Mandarin,5,,GUARD-CARD,9,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_9-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_1-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,2,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_2-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,3,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_3-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,4,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_4-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,5,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_5-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,6,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_6-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,7,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_7-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,8,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_8-w-audio.mp4,,
B,Mandarin,6,,BARK-PARK,9,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_9-w-audio.mp4,,
C,American,7v,NA,NA,NA,https://kelinguistics.github.io/dissertation-aem/social-guises/trimmed_AM_guise.mp4,What is this speaker's last name?,"Harvey, Johnston, Smith, Erikson"
C,American,7,,GUARD-CARD,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
C,American,7,,GUARD-CARD,2,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
C,American,7,,GUARD-CARD,3,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
C,American,7,,GUARD-CARD,4,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
C,American,7,,GUARD-CARD,5,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_5-w-audio.mp4,,
C,American,7,,GUARD-CARD,6,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_6-w-audio.mp4,,
C,American,7,,GUARD-CARD,7,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_7-w-audio.mp4,,
C,American,7,,GUARD-CARD,8,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_8-w-audio.mp4,,
C,American,7,,GUARD-CARD,9,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_9-w-audio.mp4,,
C,American,8,,BARK-PARK,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_1-w-audio.mp4,,
C,American,8,,BARK-PARK,2,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_2-w-audio.mp4,,
C,American,8,,BARK-PARK,3,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_3-w-audio.mp4,,
C,American,8,,BARK-PARK,4,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_4-w-audio.mp4,,
C,American,8,,BARK-PARK,5,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_5-w-audio.mp4,,
C,American,8,,BARK-PARK,6,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_6-w-audio.mp4,,
C,American,8,,BARK-PARK,7,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_7-w-audio.mp4,,
C,American,8,,BARK-PARK,8,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_8-w-audio.mp4,,
C,American,8,,BARK-PARK,9,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_9-w-audio.mp4,,
C,American,9,,DART-TART,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_1-w-audio.mp4,,
C,American,9,,DART-TART,2,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_2-w-audio.mp4,,
C,American,9,,DART-TART,3,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_3-w-audio.mp4,,
C,American,9,,DART-TART,4,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_4-w-audio.mp4,,
C,American,9,,DART-TART,5,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_5-w-audio.mp4,,
C,American,9,,DART-TART,6,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_6-w-audio.mp4,,
C,American,9,,DART-TART,7,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_7-w-audio.mp4,,
C,American,9,,DART-TART,8,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_8-w-audio.mp4,,
C,American,9,,DART-TART,9,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_8-w-audio.mp4,,
